Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,FET Type,Technology,Drain to Source Voltage (Vdss),Current - Continuous Drain (Id) @ 25°C,"Drive Voltage (Max Rds On, Min Rds On)","Rds On (Max) @ Id, Vgs",Vgs(th) (Max) @ Id,Gate Charge (Qg) (Max) @ Vgs,Vgs (Max),Input Capacitance (Ciss) (Max) @ Vds,FET Feature,Power Dissipation (Max),Operating Temperature,Grade,Qualification,Mounting Type,Supplier Device Package,Package /Case
https://www.vishay.com/docs/65903/sud09p10.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/742%7E5347%7EN%2CP%7E2.jpg,"SUD09P10-195-GE3TR-ND,SUD09P10-195-GE3CT-ND,SUD09P10-195-GE3DKR-ND",SUD09P10-195-GE3,Vishay Siliconix,Vishay Siliconix,MOSFET P-CH 100V 8.8A TO252,"7,707",99.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",TrenchFET®,Active,P-Channel,MOSFET (Metal Oxide),100 V,8.8A (Tc),"4.5V, 10V","195mOhm @ 3.6A, 10V",2.5V @ 250µA,34.8 nC @ 10 V,±20V,1055 pF @ 50 V,-,"2.5W (Ta), 32.1W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,TO-252AA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
https://www.infineon.com/dgdl/irfr220npbf.pdf?fileId=5546d462533600a40153562d8a7b206f,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6166/448%7ETO252AA%7E%7E2.jpg,"IRFR220NTRPBFTR-ND,IRFR220NTRPBFCT-ND,IRFR220NTRPBFDKR-ND",IRFR220NTRPBF,Infineon Technologies,Infineon Technologies,MOSFET N-CH 200V 5A DPAK,"4,542",99.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",HEXFET®,Active,N-Channel,MOSFET (Metal Oxide),200 V,5A (Tc),10V,"600mOhm @ 2.9A, 10V",4V @ 250µA,23 nC @ 10 V,±20V,300 pF @ 25 V,-,43W (Tc),-55°C ~ 175°C (TJ),-,-,Surface Mount,TO-252AA (DPAK),"TO-252-3, DPAK (2 Leads + Tab), SC-63"
https://www.onsemi.com/pdf/datasheet/fdt439n-d.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6164/488%7EMKT-MA04A%7E%7E4.jpg,"FDT439NTR-ND,FDT439NCT-ND,FDT439NDKR-ND",FDT439N,onsemi,onsemi,MOSFET N-CH 30V 6.3A SOT223-4,139,99.27,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),30 V,6.3A (Ta),"2.5V, 4.5V","45mOhm @ 6.3A, 4.5V",1V @ 250µA,15 nC @ 4.5 V,±8V,500 pF @ 15 V,-,3W (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-223-4,"TO-261-4, TO-261AA"
https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcsd25402q3a,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6184/296%7E8VSONP-.90-3.3X3.3%7EDNH%7E8.jpg,"296-38916-2-ND,296-38916-1-ND,296-38916-6-ND",CSD25402Q3A,Texas Instruments,Texas Instruments,MOSFET P-CH 20V 76A 8VSON,"22,084",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",NexFET™,Active,P-Channel,MOSFET (Metal Oxide),20 V,76A (Tc),"1.8V, 4.5V","8.9mOhm @ 10A, 4.5V",1.15V @ 250µA,9.7 nC @ 4.5 V,±12V,1790 pF @ 10 V,-,"2.8W (Ta), 69W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,8-VSONP (3x3.3),8-PowerVDFN
https://www.infineon.com/dgdl/Infineon-BSZ099N06LS5-DS-v02_02-EN.pdf?fileId=5546d4625696ed760156e5d71c9f4f8e,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/448%7EPPG-TSDSON-8-FUSEDLEADS-1.1%7E%7E8.jpg,"448-BSZ099N06LS5ATMA1TR-ND,448-BSZ099N06LS5ATMA1CT-ND,448-BSZ099N06LS5ATMA1DKR-ND",BSZ099N06LS5ATMA1,Infineon Technologies,Infineon Technologies,MOSFET N-CH 60V 46A TSDSON,"16,420",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",OptiMOS™,Active,N-Channel,MOSFET (Metal Oxide),60 V,46A (Tc),"4.5V, 10V","9.9mOhm @ 20A, 10V",2.3V @ 14µA,3.1 nC @ 4.5 V,±20V,1300 pF @ 30 V,-,36W (Tc),-55°C ~ 150°C (TJ),-,-,Surface Mount,PG-TSDSON-8-FL,8-PowerTDFN
https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcsd19534q5a,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6326/296%7E8VSONP-1.10-5X6%7EDQJ%7E8.jpg,"296-43636-2-ND,296-43636-1-ND,296-43636-6-ND",CSD19534Q5A,Texas Instruments,Texas Instruments,MOSFET N-CH 100V 50A 8VSON,"11,704",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",NexFET™,Active,N-Channel,MOSFET (Metal Oxide),100 V,44A (Tc),"6V, 10V","15.1mOhm @ 10A, 10V",3.4V @ 250µA,22 nC @ 10 V,±20V,1680 pF @ 50 V,-,"3.2W (Ta), 63W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,8-VSONP (5x6),8-PowerTDFN
https://www.onsemi.com/pdf/datasheet/fqd12n20l-d.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5972/488%7EMKT-TO252A03%7E%7E2.jpg,"FQD12N20LTMTR-ND,FQD12N20LTMCT-ND,FQD12N20LTMDKR-ND",FQD12N20LTM,onsemi,onsemi,MOSFET N-CH 200V 9A DPAK,"11,194",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",QFET®,Active,N-Channel,MOSFET (Metal Oxide),200 V,9A (Tc),"5V, 10V","280mOhm @ 4.5A, 10V",2V @ 250µA,21 nC @ 5 V,±20V,1080 pF @ 25 V,-,"2.5W (Ta), 55W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,TO-252AA,"TO-252-3, DPAK (2 Leads + Tab), SC-63"
https://www.onsemi.com/pdf/datasheet/ndt3055-d.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6164/488%7EMKT-MA04A%7E%7E4.jpg,"NDT3055TR-ND,NDT3055CT-ND,NDT3055DKR-ND",NDT3055,onsemi,onsemi,MOSFET N-CH 60V 4A SOT-223-4,"10,065",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),60 V,4A (Ta),10V,"100mOhm @ 4A, 10V",4V @ 250µA,15 nC @ 10 V,±20V,250 pF @ 30 V,-,3W (Ta),-65°C ~ 150°C (TJ),-,-,Surface Mount,SOT-223-4,"TO-261-4, TO-261AA"
https://www.st.com/resource/en/datasheet/stq1nk80zr-ap.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4819/SOT223-3L.jpg,"497-4669-2-ND,497-4669-1-ND,497-4669-6-ND",STN1NK80Z,STMicroelectronics,STMicroelectronics,MOSFET N-CH 800V 250MA SOT223,"7,939",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",SuperMESH™,Active,N-Channel,MOSFET (Metal Oxide),800 V,250mA (Tc),10V,"16Ohm @ 500mA, 10V",4.5V @ 50µA,7.7 nC @ 10 V,±30V,160 pF @ 25 V,-,2.5W (Tc),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-223,"TO-261-4, TO-261AA"
https://www.infineon.com/dgdl/Infineon-IAUC80N04S6L032-DataSheet-v01_00-EN.pdf?fileId=5546d4626afcd350016b1ca3b4621216,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6173/448%7EPPG-TDSON-8%7E%7E8.jpg,"448-IAUC80N04S6L032ATMA1TR-ND,448-IAUC80N04S6L032ATMA1CT-ND,448-IAUC80N04S6L032ATMA1DKR-ND",IAUC80N04S6L032ATMA1,Infineon Technologies,Infineon Technologies,IAUC80N04S6L032ATMA1,"7,601",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",OptiMOS™,Active,N-Channel,MOSFET (Metal Oxide),40 V,80A (Tc),"4.5V, 10V","3.29mOhm @ 40A, 10V",2V @ 18µA,25 nC @ 10 V,±16V,1515 pF @ 25 V,-,50W (Tc),-55°C ~ 175°C (TJ),Automotive,AEC-Q101,Surface Mount,PG-TDSON-8,8-PowerTDFN
https://www.diodes.com/assets/Datasheets/ZXMN3A03E6.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/31%7ESOT23-6%7EK%7E6.jpg,"31-ZXMN3A03E6TATR-ND,31-ZXMN3A03E6TACT-ND,31-ZXMN3A03E6TADKR-ND",ZXMN3A03E6TA,Diodes Incorporated,Diodes Incorporated,MOSFET N-CH 30V 3.7A SOT-23-6,"7,420",100.13,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,N-Channel,MOSFET (Metal Oxide),30 V,3.7A (Ta),"4.5V, 10V","50mOhm @ 7.8A, 10V",1V @ 250µA,12.6 nC @ 10 V,±20V,600 pF @ 25 V,-,1.1W (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-23-6,SOT-23-6
https://www.vishay.com/docs/67335/si4463cd.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/742%7E5498%7EDY%2CEY%7E8.jpg,"SI4463CDY-T1-GE3TR-ND,SI4463CDY-T1-GE3CT-ND,SI4463CDY-T1-GE3DKR-ND",SI4463CDY-T1-GE3,Vishay Siliconix,Vishay Siliconix,MOSFET P-CH 20V 13.6A/49A 8SO,"9,285",100.98,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",TrenchFET®,Active,P-Channel,MOSFET (Metal Oxide),20 V,"13.6A (Ta), 49A (Tc)","2.5V, 10V","8mOhm @ 13A, 10V",1.4V @ 250µA,162 nC @ 10 V,±12V,4250 pF @ 15 V,-,"2.7W (Ta), 5W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,8-SOIC,"8-SOIC (0.154"", 3.90mm Width)"
https://www.infineon.com/dgdl/irlr7843pbf.pdf?fileId=5546d462533600a40153566de53526d8,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6166/448%7ETO252AA%7E%7E2.jpg,"IRLR7843PBFTR-ND,IRLR7843PBFCT-ND,IRLR7843PBFDKR-ND",IRLR7843TRPBF,Infineon Technologies,Infineon Technologies,MOSFET N-CH 30V 161A DPAK,"8,087",100.98,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",HEXFET®,Active,N-Channel,MOSFET (Metal Oxide),30 V,161A (Tc),"4.5V, 10V","3.3mOhm @ 15A, 10V",2.3V @ 250µA,50 nC @ 4.5 V,±20V,4380 pF @ 15 V,-,140W (Tc),-55°C ~ 175°C (TJ),-,-,Surface Mount,TO-252AA (DPAK),"TO-252-3, DPAK (2 Leads + Tab), SC-63"
https://www.infineon.com/dgdl/Infineon-BSZ097N10NS5-DS-v02_01-en.pdf?fileId=5546d461454603990145d5a1b051648d,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/448%7EPPG-TSDSON-8-FUSEDLEADS-1.1%7E%7E8.jpg,"BSZ097N10NS5ATMA1TR-ND,BSZ097N10NS5ATMA1CT-ND,BSZ097N10NS5ATMA1DKR-ND",BSZ097N10NS5ATMA1,Infineon Technologies,Infineon Technologies,MOSFET N-CH 100V 8A/40A TSDSON,"6,749",100.98,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",OptiMOS™,Active,N-Channel,MOSFET (Metal Oxide),100 V,"8A (Ta), 40A (Tc)","6V, 10V","9.7mOhm @ 20A, 10V",3.8V @ 36µA,28 nC @ 10 V,±20V,2080 pF @ 50 V,-,"2.1W (Ta), 69W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,PG-TSDSON-8-FL,8-PowerTDFN
https://services.taiwansemi.com/storage/resources/datasheet/TSM2323_F15.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2104/MFG_TO-236-3%2C-SC-59%2C-SOT-23-3.jpg,"1801-TSM2323CXRFGTR-ND,1801-TSM2323CXRFGCT-ND,1801-TSM2323CXRFGDKR-ND",TSM2323CX RFG,Taiwan Semiconductor Corporation,Taiwan Semiconductor Corporation,MOSFET P-CHANNEL 20V 4.7A SOT23,"46,552",101.84,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Not For New Designs,P-Channel,MOSFET (Metal Oxide),20 V,4.7A (Ta),"1.8V, 4.5V","39mOhm @ 4.7A, 4.5V",1V @ 250µA,12.5 nC @ 4.5 V,±8V,1020 pF @ 10 V,-,1.25W (Ta),-55°C ~ 150°C (TJ),-,-,Surface Mount,SOT-23,"TO-236-3, SC-59, SOT-23-3"
https://www.vishay.com/docs/76297/siss65dn.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/742%7E6008%7EDN%7E8.jpg,"SISS65DN-T1-GE3TR-ND,SISS65DN-T1-GE3CT-ND,SISS65DN-T1-GE3DKR-ND",SISS65DN-T1-GE3,Vishay Siliconix,Vishay Siliconix,MOSFET P-CH 30V 25.9A/94A PPAK,"11,440",101.84,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",TrenchFET® Gen III,Active,P-Channel,MOSFET (Metal Oxide),30 V,"25.9A (Ta), 94A (Tc)","4.5V, 10V","4.6mOhm @ 15A, 10V",2.3V @ 250µA,138 nC @ 10 V,±20V,4930 pF @ 15 V,-,"5.1W (Ta), 65.8W (Tc)",-55°C ~ 150°C (TJ),-,-,Surface Mount,PowerPAK® 1212-8S,PowerPAK® 1212-8S
https://www.infineon.com/dgdl/irfr9024npbf.pdf?fileId=5546d462533600a401535635f91d2132,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6166/448%7ETO252AA%7E%7E2.jpg,"IRFR9024NPBFTR-ND,IRFR9024NPBFCT-ND,IRFR9024NPBFDKR-ND",IRFR9024NTRPBF,Infineon Technologies,Infineon Technologies,MOSFET P-CH 55V 11A DPAK,"10,839",101.84,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",HEXFET®,Active,P-Channel,MOSFET (Metal Oxide),55 V,11A (Tc),10V,"175mOhm @ 6.6A, 10V",4V @ 250µA,19 nC @ 10 V,±20V,350 pF @ 25 V,-,38W (Tc),-55°C ~ 150°C (TJ),-,-,Surface Mount,TO-252AA (DPAK),"TO-252-3, DPAK (2 Leads + Tab), SC-63"
